id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
137732282,GEE550-19,NÚCLEO DE ESTUDOS E PESQUISA SOBRE AS INFÂNCIAS,Sem home page,5753600,SANDRO DA SILVA CORDEIRO,Educação,CONSOLIDADO
62,GCC062-00,NÚCLEO DE ESTUDO SOBRE O TRABALHO,Sem home page,21596,ELEONORA BEZERRA DE MELO TINOCO,Ciências Humanas,CONSOLIDADO
119733859,GEC433-17,Núcleo de Estudos Portugueses,Sem home page,5758382,MAURO DUNDER,Letras,EM CONSOLIDACÃO
101331184,GEE345-13,NÚCLEO DE INOVAÇÃO NA GESTÃO PÚBLICA,Sem home page,5753060,HIRONOBU SANO,Administração,CONSOLIDADO
95391037,GEC327-13,Núcleo Transdisciplinar de Pesquisa em Artes Cênicas e Espetaculares- NACE,Sem home page,5760148,ADRIANO MORAES DE OLIVEIRA,Artes,CONSOLIDADO
911211,GEC180-06,NUECS-DH - Núcleo de Estudos Críticos em Subjetividades Contemporâneas e Direitos Humanos,Sem home page,22013,ALIPIO DE SOUSA FILHO,Sociologia,CONSOLIDADO
103358936,GED353-14,Nutrição e alimentação de suínos e aves,Sem home page,5756414,JOSE APARECIDO MOREIRA,Zootecnia,CONSOLIDADO
117225645,GED405-16,Nutrição e substâncias bioativas para saúde,Sem home page,5752200,ANA HELONEIDA DE ARAUJO MORAIS,Nutrição,EM CONSOLIDACÃO
130570009,GEE470-18,Observatório de Direito Internacional do Rio Grande do Norte,Sem home page,5752505,MARCO BRUNO MIRANDA CLEMENTINO,Direito Internacional Privado,EM CONSOLIDACÃO
132194740,GEI494-18,"Observatório de Mídias, Atualidades e Divulgação Científica e Cultural",Sem home page,5759926,THIAGO MANCHINI DE CAMPOS,Divulgação Científica,EM CONSOLIDACÃO
98190872,GED340-13,OBSERVATÓRIO DE SAÚDE MENTAL,Sem home page,22062,MAURICIO ROBERTO CAMPELO DE MACEDO,Saúde Coletiva,EM CONSOLIDACÃO
94583594,GES297-12,O cuidar na saúde na perspectiva multiprofissional,Sem home page,5753636,SILVANA ALVES PEREIRA,Enfermagem,CONSOLIDADO
117343073,GEA435-17,Oncologia Molecular,Sem home page,5757828,TIRZAH BRAZ PETTA LAJUS,Genética,EM CONSOLIDACÃO
97336441,GEE321-13,O Processo e o Acesso à Justiça,Sem home page,23157,JOSE ORLANDO RIBEIRO ROSARIO,Direito,CONSOLIDADO
96077235,GEA330-13,Optogenética,Sem home page,5753818,RICHARDSON NAVES LEAO,Fisiologia,EM CONSOLIDACÃO
8974201,GEC202-08,OS ESPAÇOS NA MODERNIDADE,Sem home page,22809,RAIMUNDO PEREIRA ALENCAR ARRAIS,História,CONSOLIDADO
2385994,GCB113-01,Otimização combinatória e desenvolvimento de sistemas computacionais de apoio à decisão,Sem home page,17621,DARIO JOSE ALOISE,Ciências Exatas e da Terra,CONSOLIDADO
17,GCG016-95,OTIMIZAÇÃO E SUPERVISÃO DE SISTEMAS ELÉTRICOS E INDUSTRIAIS,Sem home page,17421,MANOEL FIRMINO DE MEDEIROS JUNIOR,Engenharias,CONSOLIDADO
109661347,GEE389-16,Para além das escolhas de determinação judicial de pena: entre o dogmático e o empírico,Sem home page,5753090,KEITY MARA FERREIRA DE SOUZA E SABOYA,Direito,EM CONSOLIDACÃO
67,GCD067-92,PATOLOGIA ORAL,Sem home page,26621,LEAO PEREIRA PINTO,Ciências da Saúde,CONSOLIDADO
101279722,GEG351-14,PEGADAS: PROJETOS DE ENGENHARIA E GESTÃO APLICADOS AO DESENVOLVIMENTO AMBIENTAL E SOCIAL,Sem home page,5756115,SANDRA RUFINO SANTOS,Engenharia de Produção,CONSOLIDADO
97019312,GEG499-19,Pesquisa e Desenvolvimento em Materiais Metálicos,Sem home page,5754365,MAURÍCIO MHIRDAUI PERES,Engenharia de Materiais e Metalúrgica,EM CONSOLIDACÃO
124394036,GEE462-18,PESQUISA E DESENVOLVIMENTO EMPRESARIAL,Sem home page,24896,GABRIEL MARTINS DE ARAUJO FILHO,Administração,EM CONSOLIDACÃO
127090703,GEN516-19,Pesquisa e Ensino em Geografia,Sem home page,5758417,RAIMUNDO NONATO JUNIOR,Geografia,EM CONSOLIDACÃO
50936282,GEG254-10,Pesquisa Operacional e Logística - POLO,Sem home page,5755045,WERNER KLEYSON DA SILVA SOARES,Engenharia de Produção,CONSOLIDADO
911023,GEA171-06,PESQUISAS EM FARMACOLOGIA,www,26270,AURIGENA ANTUNES DE ARAUJO,Farmacologia,CONSOLIDADO
2050958,GED230-09,"Pesquisa, Tecnologia e Inovação em Controle de Qualidade de Medicamentos",Sem home page,25847,CICERO FLAVIO SOARES ARAGAO,Farmácia,CONSOLIDADO
129654304,GEC483-18,PHI DESIGN: FILOSOFIA DO DESIGN,Sem home page,26169,TASSOS LYCURGO GALVAO NUNES,Desenho de Produto,EM CONSOLIDACÃO
13087450,GEA213-09,PLASTICIDADE MORFOFUNCIONAL DOS SISTEMAS ORGÂNICOS. MICROSCOPIA CELULAR E TECIDUAL,Sem home page,2262005,NAIANNE KELLY CLEBIS,Morfologia,CONSOLIDADO
93,GCE093-00,"PODER LOCAL, DESENVOLVIMENTO E POLÍTICAS PÚBLICAS",Sem home page,24350,JOAO BOSCO ARAUJO DA COSTA,Ciência Política,CONSOLIDADO
93261771,GEC296-12,Poder Local e Gestão Pública no Brasil,Sem home page,3588483,ANTONIO SERGIO ARAUJO FERNANDES,Ciência Política,CONSOLIDADO
132068775,GEC529-19,Poéticas do tempo,Sem home page,5760275,RODRIGO ALMEIDA FERREIRA,Cinema,EM CONSOLIDACÃO
134931130,GEC539-19,"POLÍTICA, PRODUÇÃO DE SUBJETIVIDADE E PRÁTICAS DE RESISTÊNCIA",Sem home page,5752257,ANA KARENINA DE MELO ARRAES AMORIM,Psicologia,EM CONSOLIDACÃO
153,GCE151-04,POLÍTICAS E GESTÃO DA EDUCAÇAO,Sem home page,26590,MAGNA FRANCA,Educação,CONSOLIDADO
18952640,GEC227-09,"PRAGMA - Pragmática da Comunicação e da Mídia: teorias, linguagens, indústrias culturais e cidadania",Sem home page,5752663,JUCIANO DE SOUSA LACERDA,Comunicação,CONSOLIDADO
125,GCD128-01,PRÁTICAS ASSISTENCIAIS E EPIDEMIOLÓGICAS EM SAÚDE E ENFERMAGEM,Sem home page,5752167,ANA LUISA BRANDAO DE CARVALHO LIRA,Enfermagem,CONSOLIDADO
911213,GEC182-06,Práticas discursivas na contemporaneidade,Sem home page,22792,MARIA DA PENHA CASADO ALVES,Linguística,CONSOLIDADO
144,GCF141-02,PRÁTICAS LINGUÍSTICAS DIFERENCIADAS,Sem home page,5754323,ANTONIO GENARIO PINHEIRO DOS SANTOS,Linguística,CONSOLIDADO
75,GCB075-00,PROCESSAMENTO DE MATERIAIS POR PLASMA,Sem home page,18765,CLODOMIRO ALVES JUNIOR,Engenharias,CONSOLIDADO
118696510,GEG410-16,Processamento de Sinais e Redes Elétricas Inteligentes,Sem home page,5753711,FLAVIO BEZERRA COSTA,Engenharia Elétrica,EM CONSOLIDACÃO
85074788,GEB247-10,PROCESSAMENTO GRÁFICO E INTELIGÊNCIA COMPUTACIONAL,Sem home page,5752447,MARCELO FERREIRA SIQUEIRA,Ciência da Computação,EM CONSOLIDACÃO
118928129,GEI417-16,Produção vegetal,Sem home page,5754355,MARCIO DIAS PEREIRA,Agronomia,EM CONSOLIDACÃO
134,GCG103-02,PRODUTOS NATURAIS,Sem home page,18121,RASIAH LADCHUMANANANDASIVAM,Engenharias,CONSOLIDADO
91022811,GED288-12,Produtos Naturais Bioativos (PNBio),Sem home page,5753064,SILVANA MARIA ZUCOLOTTO LANGASSNER,Farmácia,EM CONSOLIDACÃO
912460,GCG165-05,PROJETAR - Projeto de Arquitetura e Percepção do Ambiente,www.projedata.ct.ufrn.br,24346,MAISA FERNANDES DUTRA VELOSO,Engenharias,CONSOLIDADO
106469506,GEG502-19,Prototipagem Rápida e Simulação Biomecânica na Saúde,Sem home page,5753553,KARILANY DANTAS COUTINHO,Engenharia Biomédica,EM CONSOLIDACÃO
133395306,GEO544-19,Quantum Information and Quantum Matter Group,Sem home page,5760209,RAFAEL CHAVES SOUTO ARAUJO,Física Clássica e Física Quântica; Mecânica e Campos,EM CONSOLIDACÃO
81,GCB081-04,QUÍMICA ANALÍTICA APLICADA,Sem home page,23681,JAILSON VIEIRA DE MELO,Ciências Exatas e da Terra,CONSOLIDADO
911021,GEB169-06,QUÍMICA ANALÍTICA E MEIO AMBIENTE,www.ufrn.br,36449,NEDJA SUELY FERNANDES,Química,EM CONSOLIDACÃO
85541355,GEB265-11,QUÍMICA BIOLÓGICA E QUIMIOMETRIA,Sem home page,5752662,KASSIO MICHELL GOMES DE LIMA,Química,CONSOLIDADO
78,GCB078-94,QUIMICA DE POLÍMEROS,Sem home page,22812,ROSANGELA DE CARVALHO BALABAN,Ciências Exatas e da Terra,CONSOLIDADO
103788964,GEB397-16,"Química, ensino e aprendizagem",Sem home page,2288465,MARCIA GORETTE LIMA DA SILVA,Educação,EM CONSOLIDACÃO
80,GCB080-00,QUÍMICA INORGÂNICA E MATERIAIS,Sem home page,20873,DULCE MARIA DE ARAUJO MELO,Ciências Exatas e da Terra,CONSOLIDADO
27,GCG026-00,RECURSOS HÍDRICOS E SANEAMENTO AMBIENTAL,Sem home page,24794,ARTHUR MATTOS,Engenharias,CONSOLIDADO
90707392,GEB280-12,Rede Radônio no Rio Grande do Norte (RnRN),Sem home page,21586,THOMAS FERREIRA DA COSTA CAMPOS,Geociências,EM CONSOLIDACÃO
85832151,GEE268-11,REPRESENTAÇÕES SOCIAIS E EDUCAÇÃO,Sem home page,26322,ERIKA DOS REIS GUSMAO ANDRADE,Educação,CONSOLIDADO
124917328,GEA454-17,Reprogramação direta de linhagem celular,Sem home page,5752182,MARCOS ROMUALDO COSTA,Biologia Geral,EM CONSOLIDACÃO
128394328,GEG479-18,Research Group on Advanced Diamond Cutting Tools and Powder Metallurgy,Sem home page,5759439,MEYSAM MASHHADIKARIMI,Metalurgia de Pó,EM CONSOLIDACÃO
118861832,GED409-16,Ritmos Biológicos e Medicina do Sono (RITMES),Sem home page,5756286,FABIANA BARBOSA GONCALVES,Medicina,EM CONSOLIDACÃO
155,GEG172-06,ROBÓTICA E SISTEMAS DEDICADOS,www,23956,PABLO JAVIER ALSINA,Engenharias,EM CONSOLIDACÃO
121,GCD125-01,SAÚDE DA MULHER,Sem home page,22753,ANA CRISTINA PINHEIRO FERNANDES DE ARAUJO,Medicina,CONSOLIDADO
